"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66125","test_auto_remediation_rescan_verification_expected_failure","tests.api","2026-04-17","skipped","2026-04-17","","test_alert_auto_remediation_rescan_expected_failure","",""
"","27088","test_manual_remediation_alert_lifecycle[chromium]","tests.ui","2026-04-17","passed","2026-04-17","","test_manual_alert_lifecycle","",""
"","10022","test_open_alert_cannot_jump_directly_to_resolved","tests.api","2026-04-17","passed","2026-04-17","","test_alert_component_behaviors","",""
